angle	  | quarter	  | number	  | comparison																																																																																																																																										
12510	  | 4		  | 139		  | 2T 1F 1T 2F 2T 3F 4T 1F 1T 6F 1T 1F 1T 9F 2T 3F 1T 4F 1T 2F 1T 4F 2T 1F 1T 3F 2T 1F 1T 2F 1T 6F 1T 2F 1T 2F 2T 1F 1T 3F 1T 7F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 1F 1T 1F 1T 2F 2T 3F 4T 1F 1T 6F 1T 1F 1T 9F 2T 3F 1T 4F 1T 2F 1T 4F 2T 1F 1T 3F 2T 1F 1T 2F 1T 6F 1T 2F 1T 2F 2T 1F 1T 3F 1T 7F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 															
12600	  | 1		  | 140		  | 4F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 																																																																																																													
12690	  | 2		  | 141		  | 1F 1T 1F 1T 2F 2T 3F 4T 1F 1T 6F 1T 1F 1T 9F 2T 3F 1T 4F 1T 2F 1T 4F 2T 1F 1T 3F 2T 1F 1T 2F 1T 6F 1T 2F 1T 2F 2T 1F 1T 3F 1T 7F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 																																																																													
12780	  | 3		  | 142		  | 4F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 																																																																																																													
12870	  | 4		  | 143		  | 2T 1F 1T 2F 2T 3F 4T 1F 1T 6F 1T 1F 1T 9F 2T 3F 1T 4F 1T 2F 1T 4F 2T 1F 1T 3F 2T 1F 1T 2F 1T 6F 1T 2F 1T 2F 2T 1F 1T 3F 1T 7F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 																																																																														
12960	  | 1		  | 144		  | 4F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 																																																																																																													
13050	  | 2		  | 145		  | 1F 1T 1F 1T 2F 2T 3F 4T 1F 1T 6F 1T 1F 1T 9F 2T 3F 1T 4F 1T 2F 1T 4F 2T 1F 1T 3F 2T 1F 1T 2F 1T 6F 1T 2F 1T 2F 2T 1F 1T 3F 1T 7F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 																																																																													
13140	  | 3		  | 146		  | 4F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 																																																																																																													
13230	  | 4		  | 147		  | 1F 1T 1F 1T 2F 2T 3F 4T 1F 1T 6F 1T 1F 1T 9F 2T 3F 1T 4F 1T 2F 1T 4F 2T 1F 1T 3F 2T 1F 1T 2F 1T 6F 1T 2F 1T 2F 2T 1F 1T 3F 1T 7F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 																																																																													
13320	  | 1		  | 148		  | 4F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 1F 1T 1F 1T 2F 2T 3F 4T 1F 1T 6F 1T 1F 1T 9F 2T 3F 1T 4F 1T 2F 1T 4F 2T 1F 1T 3F 2T 1F 1T 2F 1T 6F 1T 2F 1T 2F 2T 1F 1T 3F 1T 7F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 																																														
13410	  | 2		  | 149		  | 1F 1T 1F 1T 2F 2T 3F 4T 1F 1T 6F 1T 1F 1T 9F 2T 3F 1T 4F 1T 2F 1T 4F 2T 1F 1T 3F 2T 1F 1T 2F 1T 6F 1T 2F 1T 2F 2T 1F 1T 3F 1T 7F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 1F 1T 1F 1T 2F 2T 3F 4T 1F 1T 6F 1T 1F 1T 9F 2T 3F 1T 4F 1T 2F 1T 4F 2T 1F 1T 3F 2T 1F 1T 2F 1T 6F 1T 2F 1T 2F 2T 1F 1T 3F 1T 7F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 1F 1T 1F 1T 2F 2T 3F 4T 1F 1T 6F 1T 1F 1T 9F 2T 3F 1T 4F 1T 2F 1T 4F 2T 1F 1T 3F 2T 1F 1T 2F 1T 6F 1T 2F 1T 2F 2T 1F 1T 3F 1T 7F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 
13500	  | 3		  | 150		  | 4F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 1F 1T 1F 1T 2F 2T 3F 4T 1F 1T 6F 1T 1F 1T 9F 2T 3F 1T 4F 1T 2F 1T 4F 2T 1F 1T 3F 2T 1F 1T 2F 1T 6F 1T 2F 1T 2F 2T 1F 1T 3F 1T 7F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 																																														
13590	  | 4		  | 151		  | 1F 1T 1F 1T 2F 2T 3F 4T 1F 1T 6F 1T 1F 1T 9F 2T 3F 1T 4F 1T 2F 1T 4F 2T 1F 1T 3F 2T 1F 1T 2F 1T 6F 1T 2F 1T 2F 2T 1F 1T 3F 1T 7F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 																																																																													
13680	  | 1		  | 152		  | 4F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 																																																																																																													
13770	  | 2		  | 153		  | 1F 1T 1F 1T 2F 2T 3F 4T 1F 1T 6F 1T 1F 1T 9F 2T 3F 1T 4F 1T 2F 1T 4F 2T 1F 1T 3F 2T 1F 1T 2F 1T 6F 1T 2F 1T 2F 2T 1F 1T 3F 1T 7F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 																																																																													
13860	  | 3		  | 154		  | 4F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 																																																																																																													
13950	  | 4		  | 155		  | 1F 1T 1F 1T 2F 2T 3F 4T 1F 1T 6F 1T 1F 1T 9F 2T 3F 1T 4F 1T 2F 1T 4F 2T 1F 1T 3F 2T 1F 1T 2F 1T 6F 1T 2F 1T 2F 2T 1F 1T 3F 1T 7F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 																																																																													
14040	  | 1		  | 156		  | 4F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 1F 1T 1F 1T 2F 2T 3F 4T 1F 1T 6F 1T 1F 1T 9F 2T 3F 1T 4F 1T 2F 1T 4F 2T 1F 1T 3F 2T 1F 1T 2F 1T 6F 1T 2F 1T 2F 2T 1F 1T 3F 1T 7F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 																																														
14130	  | 2		  | 157		  | 1F 1T 1F 1T 2F 2T 3F 4T 1F 1T 6F 1T 1F 1T 9F 2T 3F 1T 4F 1T 2F 1T 4F 2T 1F 1T 3F 2T 1F 1T 2F 1T 6F 1T 2F 1T 2F 2T 1F 1T 3F 1T 7F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 																																																																													
14220	  | 3		  | 158		  | 4F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 1F 1T 																																																																																																													
14310	  | 4		  | 159		  | 1F 1T 1F 1T 2F 2T 3F 2T 																																																																																																																																						
14400	  | 1		  | 160		  | 2T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 4F 																																																																																																																							
14490	  | 2		  | 161		  | 17F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 3T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 4F 																																																																																																		
14580	  | 3		  | 162		  | 2T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 33F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 3T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 4F 																																																																													
14670	  | 4		  | 163		  | 17F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 3T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																		
14760	  | 1		  | 164		  | 2T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																																							
14850	  | 2		  | 165		  | 17F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 3T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																		
14940	  | 3		  | 166		  | 2T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																																							
15030	  | 4		  | 167		  | 17F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 3T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																		
15120	  | 1		  | 168		  | 2T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																																							
15210	  | 2		  | 169		  | 17F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 3T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																		
15300	  | 3		  | 170		  | 2T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																																							
15390	  | 4		  | 171		  | 17F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 3T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 1T 16F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 3T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																						
15480	  | 1		  | 172		  | 2T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																																							
15570	  | 2		  | 173		  | 1T 16F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 3T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																	
15660	  | 3		  | 174		  | 2T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																																							
15750	  | 4		  | 175		  | 17F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 3T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																		
15840	  | 1		  | 176		  | 2T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																																							
15930	  | 2		  | 177		  | 17F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 3T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 33F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 3T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 33F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 3T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 														
16020	  | 3		  | 178		  | 2T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																																							
16110	  | 4		  | 179		  | 17F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 3T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																		
16200	  | 1		  | 180		  | 2T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																																							
16290	  | 2		  | 181		  | 17F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 3T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																		
16380	  | 3		  | 182		  | 2T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 1T 16F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 3T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																											
16470	  | 4		  | 183		  | 1T 16F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 3T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																	
16560	  | 1		  | 184		  | 2T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																																							
16650	  | 2		  | 185		  | 17F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 3T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																		
16740	  | 3		  | 186		  | 2T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																																							
16830	  | 4		  | 187		  | 17F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 3T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																		
16920	  | 1		  | 188		  | 2T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																																							
17010	  | 2		  | 189		  | 1T 16F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 3T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																	
17100	  | 3		  | 190		  | 2T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																																							
17190	  | 4		  | 191		  | 1T 16F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 3T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																	
17280	  | 1		  | 192		  | 2T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																																							
17370	  | 2		  | 193		  | 1T 16F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 3T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																	
17460	  | 3		  | 194		  | 2T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																																							
17550	  | 4		  | 195		  | 17F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 3T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																		
17640	  | 1		  | 196		  | 2T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																																							
17730	  | 2		  | 197		  | 17F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 3T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																		
17820	  | 3		  | 198		  | 2T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																																							
17910	  | 4		  | 199		  | 17F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 																																																																																																																							
18000	  | 1		  | 200		  | 																																																																																																																																												
