angle	  | quarter	  | number	  | comparison																																																																																																																																										
-9540	  | 3		  | -106	  | 3F 1T 3F 1T 1F 																																																																																																																																									
-9450	  | 2		  | -105	  | 4F 1T 1F 1T 3F 3T 7F 1T 1F 1T 6F 1T 4F 1T 5F 1T 2F 1T 3F 1T 1F 2T 2F 1T 7F 1T 7F 1T 1F 2T 3F 2T 5F 1T 3F 1T 5F 1T 3F 1T 1F 																																																																																																														
-9360	  | 1		  | -104	  | 3F 1T 3F 1T 5F 2T 3F 2T 1F 1T 7F 1T 7F 1T 2F 2T 1F 1T 3F 1T 2F 1T 5F 1T 4F 1T 6F 1T 1F 1T 7F 3T 3F 1T 1F 1T 3F 																																																																																																																	
-9270	  | 4		  | -103	  | 4F 1T 1F 1T 3F 3T 7F 1T 1F 1T 6F 1T 4F 1T 5F 1T 2F 1T 3F 1T 1F 2T 2F 1T 7F 1T 7F 1T 1F 2T 3F 2T 5F 1T 3F 1T 5F 1T 3F 1T 5F 2T 3F 2T 1F 1T 7F 1T 7F 1T 2F 2T 1F 1T 3F 1T 2F 1T 5F 1T 4F 1T 6F 1T 1F 1T 7F 3T 3F 1T 1F 1T 3F 																																																																																						
-9180	  | 3		  | -102	  | 3F 1T 3F 1T 5F 2T 3F 2T 1F 1T 7F 1T 7F 1T 2F 2T 1F 1T 3F 1T 2F 1T 5F 1T 4F 1T 6F 1T 1F 1T 7F 3T 3F 1T 1F 1T 3F 																																																																																																																	
-9090	  | 2		  | -101	  | 1T 3F 1T 1F 1T 3F 3T 7F 1T 1F 1T 6F 1T 4F 1T 5F 1T 2F 1T 3F 1T 1F 2T 2F 1T 7F 1T 7F 1T 1F 2T 3F 2T 5F 1T 3F 1T 5F 1T 3F 1T 5F 2T 3F 2T 1F 1T 7F 1T 7F 1T 2F 2T 1F 1T 3F 1T 2F 1T 5F 1T 4F 1T 6F 1T 1F 1T 7F 3T 3F 1T 1F 1T 3F 																																																																																					
-9000	  | 1		  | -100	  | 3F 1T 3F 1T 5F 2T 3F 2T 1F 1T 7F 1T 7F 1T 2F 2T 1F 1T 3F 1T 2F 1T 5F 1T 4F 1T 6F 1T 1F 1T 7F 3T 3F 1T 1F 1T 3F 1T 3F 1T 1F 1T 3F 3T 7F 1T 1F 1T 6F 1T 4F 1T 5F 1T 2F 1T 3F 1T 1F 2T 2F 1T 7F 1T 7F 1T 1F 2T 3F 2T 5F 1T 3F 1T 5F 1T 3F 1T 5F 2T 3F 2T 1F 1T 7F 1T 7F 1T 2F 2T 1F 1T 3F 1T 2F 1T 5F 1T 4F 1T 6F 1T 1F 1T 7F 3T 3F 1T 1F 1T 3F 																																																									
-8910	  | 4		  | -99		  | 1T 3F 1T 1F 1T 3F 3T 7F 1T 1F 1T 6F 1T 4F 1T 5F 1T 2F 1T 3F 1T 1F 2T 2F 1T 7F 1T 7F 1T 1F 2T 3F 2T 5F 1T 3F 1T 5F 1T 3F 1T 5F 2T 3F 2T 1F 1T 7F 1T 7F 1T 2F 2T 1F 1T 3F 1T 2F 1T 5F 1T 4F 1T 6F 1T 1F 1T 7F 3T 3F 1T 1F 1T 3F 																																																																																					
-8820	  | 3		  | -98		  | 3F 1T 3F 1T 5F 2T 3F 2T 1F 1T 7F 1T 7F 1T 2F 2T 1F 1T 3F 1T 2F 1T 5F 1T 4F 1T 6F 1T 1F 1T 7F 3T 3F 1T 1F 1T 3F 																																																																																																																	
-8730	  | 2		  | -97		  | 1T 3F 1T 1F 1T 3F 3T 7F 1T 1F 1T 6F 1T 4F 1T 5F 1T 2F 1T 3F 1T 1F 2T 2F 1T 7F 1T 7F 1T 1F 2T 3F 2T 5F 1T 3F 1T 5F 1T 3F 1T 5F 2T 3F 2T 1F 1T 7F 1T 7F 1T 2F 2T 1F 1T 3F 1T 2F 1T 5F 1T 4F 1T 6F 1T 1F 1T 7F 3T 3F 1T 1F 1T 3F 																																																																																					
-8640	  | 1		  | -96		  | 3F 1T 3F 1T 5F 2T 3F 2T 1F 1T 7F 1T 7F 1T 2F 2T 1F 1T 3F 1T 2F 1T 5F 1T 4F 1T 6F 1T 1F 1T 7F 3T 3F 1T 1F 1T 3F 																																																																																																																	
-8550	  | 4		  | -95		  | 1T 3F 1T 1F 1T 3F 3T 7F 1T 1F 1T 6F 1T 4F 1T 5F 1T 2F 1T 3F 1T 1F 2T 2F 1T 7F 1T 7F 1T 1F 2T 3F 2T 5F 1T 3F 1T 5F 1T 3F 1T 5F 2T 3F 2T 1F 1T 7F 1T 7F 1T 2F 2T 1F 1T 3F 1T 2F 1T 5F 1T 4F 1T 6F 1T 1F 1T 7F 3T 3F 1T 1F 1T 3F 1T 3F 1T 1F 1T 3F 3T 7F 1T 1F 1T 6F 1T 4F 1T 5F 1T 2F 1T 3F 1T 1F 2T 2F 1T 7F 1T 7F 1T 1F 2T 3F 2T 5F 1T 3F 1T 5F 1T 3F 1T 5F 2T 3F 2T 1F 1T 7F 1T 7F 1T 2F 2T 1F 1T 3F 1T 2F 1T 5F 1T 4F 1T 6F 1T 1F 1T 7F 3T 3F 1T 1F 1T 3F 																													
-8460	  | 3		  | -94		  | 3F 1T 3F 1T 5F 2T 3F 2T 1F 1T 7F 1T 7F 1T 2F 2T 1F 1T 3F 1T 2F 1T 5F 1T 4F 1T 6F 1T 1F 1T 7F 3T 3F 1T 1F 1T 3F 																																																																																																																	
-8370	  | 2		  | -93		  | 1T 3F 1T 1F 1T 3F 3T 7F 1T 1F 1T 6F 1T 4F 1T 5F 1T 2F 1T 3F 1T 1F 2T 2F 1T 7F 1T 7F 1T 1F 2T 3F 2T 5F 1T 3F 1T 5F 1T 3F 1T 5F 2T 3F 2T 1F 1T 7F 1T 7F 1T 2F 2T 1F 1T 3F 1T 2F 1T 5F 1T 4F 1T 6F 1T 1F 1T 7F 3T 3F 1T 1F 1T 3F 																																																																																					
-8280	  | 1		  | -92		  | 3F 1T 3F 1T 5F 2T 3F 2T 1F 1T 7F 1T 7F 1T 2F 2T 1F 1T 3F 1T 2F 1T 5F 1T 4F 1T 6F 1T 1F 1T 7F 3T 3F 1T 1F 1T 3F 																																																																																																																	
-8190	  | 4		  | -91		  | 4F 1T 1F 																																																																																																																																										
-8100	  | 3		  | -90		  | 1T 15F 1T 6F 1T 1F 1T 6F 1T 2F 1T 2F 2T 11F 2T 5F 2T 3F 2T 4F 1T 3F 1T 1F 1T 6F 1T 2F 																																																																																																																							
-8010	  | 2		  | -89		  | 5F 1T 2F 1T 6F 1T 1F 1T 3F 1T 4F 2T 3F 2T 5F 2T 11F 2T 2F 1T 2F 1T 6F 1T 1F 1T 6F 1T 15F 1T 15F 1T 6F 1T 1F 1T 6F 1T 2F 1T 2F 2T 11F 2T 5F 2T 3F 2T 4F 1T 3F 1T 1F 1T 6F 1T 2F 																																																																																																	
-7920	  | 1		  | -88		  | 1T 15F 1T 6F 1T 1F 1T 6F 1T 2F 1T 2F 2T 11F 2T 5F 2T 3F 2T 4F 1T 3F 1T 1F 1T 6F 1T 2F 1T 4F 																																																																																																																					
-7830	  | 4		  | -87		  | 1T 4F 1T 2F 1T 6F 1T 1F 1T 3F 1T 4F 2T 3F 2T 5F 2T 11F 2T 2F 1T 2F 1T 6F 1T 1F 1T 6F 1T 15F 1T 15F 1T 6F 1T 1F 1T 6F 1T 2F 1T 2F 2T 11F 2T 5F 2T 3F 2T 4F 1T 3F 1T 1F 1T 6F 1T 2F 1T 4F 																																																																																														
-7740	  | 3		  | -86		  | 1T 15F 1T 6F 1T 1F 1T 6F 1T 2F 1T 2F 2T 11F 2T 5F 2T 3F 2T 4F 1T 3F 1T 1F 1T 6F 1T 2F 1T 9F 1T 2F 1T 6F 1T 1F 1T 3F 1T 4F 2T 3F 2T 5F 2T 11F 2T 2F 1T 2F 1T 6F 1T 1F 1T 6F 1T 15F 1T 15F 1T 6F 1T 1F 1T 6F 1T 2F 1T 2F 2T 11F 2T 5F 2T 3F 2T 4F 1T 3F 1T 1F 1T 6F 1T 2F 1T 4F 																																																																									
-7650	  | 2		  | -85		  | 5F 1T 2F 1T 6F 1T 1F 1T 3F 1T 4F 2T 3F 2T 5F 2T 11F 2T 2F 1T 2F 1T 6F 1T 1F 1T 6F 1T 15F 1T 15F 1T 6F 1T 1F 1T 6F 1T 2F 1T 2F 2T 11F 2T 5F 2T 3F 2T 4F 1T 3F 1T 1F 1T 6F 1T 2F 1T 4F 																																																																																															
-7560	  | 1		  | -84		  | 1T 15F 1T 6F 1T 1F 1T 6F 1T 2F 1T 2F 2T 11F 2T 5F 2T 3F 2T 4F 1T 3F 1T 1F 1T 6F 1T 2F 1T 4F 																																																																																																																					
-7470	  | 4		  | -83		  | 5F 1T 2F 1T 6F 1T 1F 1T 3F 1T 4F 2T 3F 2T 5F 2T 11F 2T 2F 1T 2F 1T 6F 1T 1F 1T 6F 1T 15F 1T 15F 1T 6F 1T 1F 1T 6F 1T 2F 1T 2F 2T 11F 2T 5F 2T 3F 2T 4F 1T 3F 1T 1F 1T 6F 1T 2F 1T 4F 																																																																																															
-7380	  | 3		  | -82		  | 1T 15F 1T 6F 1T 1F 1T 6F 1T 2F 1T 2F 2T 11F 2T 5F 2T 3F 2T 4F 1T 3F 1T 1F 1T 6F 1T 2F 1T 4F 																																																																																																																					
-7290	  | 2		  | -81		  | 5F 1T 2F 1T 6F 1T 1F 1T 3F 1T 4F 2T 3F 2T 5F 2T 11F 2T 2F 1T 2F 1T 6F 1T 1F 1T 6F 1T 15F 1T 15F 1T 6F 1T 1F 1T 6F 1T 2F 1T 2F 1T 																																																																																																												
-7200	  | 1		  | -80		  | 1T 15F 1T 6F 1T 1F 1T 6F 1T 2F 1T 2F 1T 																																																																																																																																		
-7110	  | 4		  | -79		  | 3F 2T 2F 1T 1F 2T 2F 1T 2F 1T 3F 1T 1F 2T 5F 1T 4F 3T 5F 2T 1F 1T 1F 1T 1F 2T 1F 																																																																																																																								
-7020	  | 3		  | -78		  | 10F 2T 1F 1T 3F 1T 9F 2T 4F 2T 1F 1T 3F 2T 1F 1T 1F 1T 1F 2T 5F 3T 4F 1T 5F 2T 1F 1T 3F 1T 2F 1T 2F 2T 1F 1T 2F 2T 2F 																																																																																																															
